"Date","Time","pm25","temperature_2m","relative_humidity_2m","precipitation","surface_pressure","wind_speed_10m","wind_direction_10m"
2024-01-01,"01:00:00",1.887,7.1,79,0.1,979.1,16.3,264
2024-01-01,"02:00:00",2.783,7.1,80,0,980.3,16.6,266
2024-01-01,"03:00:00",2.476,7.1,77,0,981.6,19.1,267
2024-01-01,"04:00:00",2.901,7,76,0,982.2,17.7,266
2024-01-01,"05:00:00",3.514,6.9,74,0,983.5,18.4,271
2024-01-01,"06:00:00",3.42,7,76,0,984.7,17.7,268
2024-01-01,"07:00:00",2.476,6.7,77,0,985.7,16.6,271
2024-01-01,"08:00:00",3.137,6.4,76,0,987,14.8,266
2024-01-01,"09:00:00",2.948,6.3,78,0,987.7,15,253
2024-01-01,"10:00:00",3.821,6.2,76,0,988.6,14.5,247
2024-01-01,"11:00:00",4.127,6.4,73,0,989.1,14.2,243
2024-01-01,"12:00:00",3.986,6.8,70,0,989.8,13.2,241
2024-01-01,"13:00:00",4.08,7,67,0,989.5,11.3,233
2024-01-01,"14:00:00",4.552,6.9,69,0,988.8,10.6,208
2024-01-01,"15:00:00",5.472,6.5,71,0,988.4,9.8,197
2024-01-01,"16:00:00",6.934,6.2,78,0,988.5,8.4,173
2024-01-01,"17:00:00",9.693,5.7,83,0,987.6,7.9,156
2024-01-01,"18:00:00",10.047,5.5,87,0.1,985.2,9.9,147
2024-01-01,"19:00:00",6.981,5.7,90,0.8,983.6,10.7,135
2024-01-01,"20:00:00",4.057,5.6,91,1.6,980.9,12.3,122
2024-01-01,"21:00:00",1.958,5.8,91,2.9,979.2,13.1,127
2024-01-01,"22:00:00",1.25,6.2,92,3.6,976.8,13.5,136
2024-01-01,"23:00:00",1.533,6.6,93,3.4,975.3,7.2,153
2024-01-02,"01:00:00",1.604,7.8,95,0.1,974,4.2,160
2024-01-02,"02:00:00",2.359,9.4,83,0,974.4,13.3,251
2024-01-02,"03:00:00",3.373,9.6,78,0,974,20.4,253
2024-01-02,"04:00:00",4.717,9.3,80,0,974.5,14.2,243
2024-01-02,"05:00:00",4.505,9,83,0,974.6,8.9,220
2024-01-02,"06:00:00",3.821,9,83,0,974.3,9.4,212
2024-01-02,"07:00:00",4.222,8.6,87,0,974.2,8,172
2024-01-02,"08:00:00",5.519,8.4,89,0,974.1,10.5,186
2024-01-02,"09:00:00",5.778,8.4,90,0,973,11.3,189
2024-01-02,"10:00:00",5.991,8.6,91,0,972.4,8.4,187
2024-01-02,"11:00:00",7.028,9,89,0,971.3,6.1,177
2024-01-02,"12:00:00",7.076,8.8,94,0.3,970.7,5.1,135
2024-01-02,"13:00:00",5.024,8.5,97,1.3,968.1,5.4,42
2024-01-02,"14:00:00",6.769,8.4,95,0.9,966.8,7.4,29
2024-01-02,"15:00:00",3.962,8.1,92,0.8,966.4,10.2,8
2024-01-02,"16:00:00",3.184,7.9,92,1.1,966.9,10,345
2024-01-02,"17:00:00",3.726,7.9,90,1.6,968.1,9.1,304
2024-01-02,"18:00:00",1.934,7.8,88,1.4,969.2,8.6,292
2024-01-02,"19:00:00",1.014,7.6,82,0.9,970.4,6.2,249
2024-01-02,"20:00:00",3.703,7.9,85,0.6,971.3,8.2,255
2024-01-02,"21:00:00",3.939,7.9,84,0.2,972.2,8.9,223
2024-01-02,"22:00:00",3.75,7.9,81,0,972.5,8.9,243
2024-01-02,"23:00:00",1.439,7.9,82,0,972.6,9.2,231
2024-01-03,"01:00:00",1.651,8.2,81,0,973.9,11,238
2024-01-03,"02:00:00",2.028,7.7,82,0,974.3,11.4,235
2024-01-03,"03:00:00",1.816,7,87,0,974.5,8.3,214
2024-01-03,"04:00:00",2.193,6.4,90,0,974,7.3,213
2024-01-03,"05:00:00",2.453,6.4,90,0,974.4,5.5,212
2024-01-03,"06:00:00",3.726,6.1,91,0,974.8,3.9,202
2024-01-03,"07:00:00",3.844,5.9,92,0,974.7,4,190
2024-01-03,"08:00:00",4.387,6.5,91,0,975,6.8,205
2024-01-03,"09:00:00",4.009,6.6,92,0,976.1,4.9,163
2024-01-03,"10:00:00",4.458,6.7,94,0.8,975.6,4,175
2024-01-03,"11:00:00",4.528,7.2,92,0.4,975.9,2.9,187
2024-01-03,"12:00:00",3.137,7.2,94,0.7,975.7,0.5,225
2024-01-03,"13:00:00",6.132,7.3,95,0.9,976.2,2.1,239
2024-01-03,"14:00:00",2.972,7.7,92,1.4,976.9,1.4,270
2024-01-03,"15:00:00",1.439,8.3,83,0.6,977,5.8,270
2024-01-03,"16:00:00",2.028,7.9,85,0,978.2,5.1,262
2024-01-03,"17:00:00",4.41,7.7,86,0,979.3,5.8,270
2024-01-03,"18:00:00",3.349,7.6,84,0,980.4,4.1,285
2024-01-03,"19:00:00",2.429,7.5,84,0,981.1,7.6,267
2024-01-03,"20:00:00",2.099,7.2,85,0,982.3,6.5,267
2024-01-03,"21:00:00",2.264,7,86,0,983.2,5.5,247
2024-01-03,"22:00:00",2.217,6.5,87,0,983.5,3.8,221
2024-01-03,"23:00:00",1.486,6.2,89,0,984.4,4.8,222
2024-01-04,"01:00:00",2.972,6.4,90,0,985.4,4.4,189
2024-01-04,"02:00:00",3.609,6.2,91,0,986.4,4.4,189
2024-01-04,"03:00:00",3.302,6.3,91,0,986.3,5.4,184
2024-01-04,"04:00:00",3.609,6.7,89,0.2,986.7,5.9,194
2024-01-04,"05:00:00",2.17,6.8,88,0,987.2,6.4,218
2024-01-04,"06:00:00",2.264,6.7,85,0,988,8.5,234
2024-01-04,"07:00:00",2.524,6.2,85,0,988,8.1,238
2024-01-04,"08:00:00",2.476,5.7,87,0,988.9,6.4,218
2024-01-04,"09:00:00",2.146,5.7,87,0,989,6.3,204
2024-01-04,"10:00:00",2.524,5.9,85,0,989.5,6.6,202
2024-01-04,"11:00:00",4.057,6.5,82,0,989.5,7,201
2024-01-04,"12:00:00",5.708,7.2,79,0,989.1,8.7,210
2024-01-04,"13:00:00",6.627,7.6,75,0,988.6,8.2,218
2024-01-04,"14:00:00",7.854,7.6,74,0,988.6,7.1,229
2024-01-04,"15:00:00",7.17,7.3,77,0,988.1,5.5,212
2024-01-04,"16:00:00",8.326,6.5,83,0,988.4,4.7,180
2024-01-04,"17:00:00",10.802,5.6,88,0,988,2.2,189
2024-01-04,"18:00:00",14.363,4.8,93,0,988,2,225
2024-01-04,"19:00:00",16.297,3.8,95,0,987.8,2.7,293
2024-01-04,"20:00:00",26.109,3.8,91,0,987.6,2.9,277
2024-01-04,"21:00:00",29.245,4,90,0,987.5,1.6,297
2024-01-04,"22:00:00",31.863,4,92,0,987.3,2.6,326
2024-01-04,"23:00:00",33.019,4.4,89,0,987.3,3.9,326
2024-01-05,"01:00:00",13.467,4.7,88,0,987.4,8.4,310
2024-01-05,"02:00:00",10.59,4.6,89,0,987.9,4,27
2024-01-05,"03:00:00",5.778,4.8,85,0,987.5,7.1,315
2024-01-05,"04:00:00",5,5,79,0,987.2,8.1,315
2024-01-05,"05:00:00",3.726,5,80,0,987.9,5.7,325
2024-01-05,"06:00:00",3.679,4.9,81,0,988.4,7.4,313
2024-01-05,"07:00:00",3.349,5,84,0,989,8.2,311
2024-01-05,"08:00:00",2.689,4.9,85,0,989.6,6.8,302
2024-01-05,"09:00:00",4.34,5,84,0,990.4,7.1,311
2024-01-05,"10:00:00",3.396,5.4,79,0,991.3,6.6,315
2024-01-05,"11:00:00",3.066,6,76,0,992,6.6,319
2024-01-05,"12:00:00",5.33,6.6,74,0,992,8.2,319
2024-01-05,"13:00:00",3.797,6.8,74,0,992,7.6,329
2024-01-05,"14:00:00",5.495,6.9,74,0,993,7.2,333
2024-01-05,"15:00:00",4.976,6.9,77,0,993.5,5.2,344
2024-01-05,"16:00:00",6.792,6.5,82,0,994.6,2.5,8
2024-01-05,"17:00:00",7.925,6.2,85,0,994.9,2.1,329
2024-01-05,"18:00:00",9.41,5.7,87,0.4,995.5,1.9,68
2024-01-05,"19:00:00",11.038,5.3,90,0,996.5,2.1,59
2024-01-05,"20:00:00",13.75,5.1,91,0.2,997.3,1.8,37
2024-01-05,"21:00:00",15.873,5,92,0.3,997.9,1.8,259
2024-01-05,"22:00:00",14.104,4.9,91,0,998.4,2.3,288
2024-01-05,"23:00:00",14.906,4.8,93,0,998.8,1.1,360
2024-01-06,"01:00:00",4.67,5.1,87,0,1000.3,5.4,323
2024-01-06,"02:00:00",4.528,4.7,88,0,1001.1,4.9,306
2024-01-06,"03:00:00",4.292,4.6,85,0,1001,6.4,313
2024-01-06,"04:00:00",3.774,4.5,83,0,1002.1,6.1,298
2024-01-06,"05:00:00",2.335,4.2,83,0,1002.5,5.9,322
2024-01-06,"06:00:00",2.359,4.2,83,0,1002.9,6.1,298
2024-01-06,"07:00:00",2.5,4,83,0,1003.9,5.3,298
2024-01-06,"08:00:00",2.382,3.5,84,0,1004.7,3.9,304
2024-01-06,"09:00:00",2.759,3.5,84,0,1006.3,3,284
2024-01-06,"10:00:00",3.278,3.8,83,0,1006.9,3.3,257
2024-01-06,"11:00:00",3.255,4.6,81,0,1007.3,2.4,297
2024-01-06,"12:00:00",4.481,5.5,74,0,1007.2,3.9,326
2024-01-06,"13:00:00",4.269,5.9,72,0,1007,6.5,354
2024-01-06,"14:00:00",4.08,5.9,73,0,1007.9,7,339
2024-01-06,"15:00:00",6.297,5.8,73,0,1008.1,6,343
2024-01-06,"16:00:00",6.156,5.3,77,0,1009.5,5.6,345
2024-01-06,"17:00:00",7.524,4.9,81,0,1010.2,5,339
2024-01-06,"18:00:00",12.594,4.5,81,0,1010.7,4.8,318
2024-01-06,"19:00:00",12.83,4.1,82,0,1010.6,5.4,323
2024-01-06,"20:00:00",10,4.2,82,0,1011.3,4.5,346
2024-01-06,"21:00:00",9.34,3.9,85,0,1011.2,5.2,326
2024-01-06,"22:00:00",13.868,3.8,83,0,1012.4,6.7,344
2024-01-06,"23:00:00",9.835,3.6,83,0,1012.8,7.8,347
2024-01-07,"01:00:00",8.939,3.3,86,0,1014.2,5.8,7
2024-01-07,"02:00:00",5.684,3.1,87,0,1014.9,5,339
2024-01-07,"03:00:00",7.241,2.9,87,0,1015.3,5.9,346
2024-01-07,"04:00:00",7.689,2.8,87,0,1015.3,3.6,6
2024-01-07,"05:00:00",7.665,2.7,88,0,1015.9,4.5,14
2024-01-07,"06:00:00",4.835,2.7,88,0,1016.9,5.2,348
2024-01-07,"07:00:00",4.528,2.6,89,0,1016.9,5.2,335
2024-01-07,"08:00:00",4.788,2.5,89,0,1017.6,5.1,352
2024-01-07,"09:00:00",5.165,2.4,88,0,1017.8,4.3,336
2024-01-07,"10:00:00",5.071,2.7,86,0,1019.2,5.7,342
2024-01-07,"11:00:00",4.387,3.4,83,0,1019.7,5.3,28
2024-01-07,"12:00:00",4.741,3.9,77,0,1019.2,8.2,15
2024-01-07,"13:00:00",5,4.2,75,0,1019.8,10.2,23
2024-01-07,"14:00:00",4.434,4.3,71,0,1019.9,9.7,39
2024-01-07,"15:00:00",4.222,4.1,72,0,1020,8.9,27
2024-01-07,"16:00:00",5.566,3.8,76,0,1021.3,8.2,23
2024-01-07,"17:00:00",6.557,3.1,84,0,1020.9,4.9,17
2024-01-07,"18:00:00",7.217,3,83,0,1021.6,5.6,27
2024-01-07,"19:00:00",10.495,2.7,85,0,1021.5,1.9,22
2024-01-07,"20:00:00",6.84,2.2,88,0,1022.5,2.6,16
2024-01-07,"21:00:00",5.118,2.2,90,0,1022.9,2.1,329
2024-01-07,"22:00:00",5.684,2.5,88,0,1023.1,1.8,11
2024-01-07,"23:00:00",5.519,2.4,86,0,1023.1,2.2,9
2024-01-08,"01:00:00",7.146,1.6,85,0,1023.9,3.3,6
2024-01-08,"02:00:00",8.373,1.5,86,0,1024.5,2.9,7
